set,phase,ms,type
es5,load,199.453,self
es5,load,199.453,cumulative
es5,render,169.692,self
es5,render,369.145,cumulative
es5,load,210.243,self
es5,load,210.243,cumulative
es5,render,180.759,self
es5,render,391.002,cumulative
es5,load,193.827,self
es5,load,193.827,cumulative
es5,render,170.998,self
es5,render,364.825,cumulative
es5,load,199.955,self
es5,load,199.955,cumulative
es5,render,171.818,self
es5,render,371.773,cumulative
es5,load,192.038,self
es5,load,192.038,cumulative
es5,render,177.096,self
es5,render,369.134,cumulative
es5,load,195.63,self
es5,load,195.63,cumulative
es5,render,177.495,self
es5,render,373.125,cumulative
es5,load,199.509,self
es5,load,199.509,cumulative
es5,render,172.115,self
es5,render,371.624,cumulative
es5,load,193.797,self
es5,load,193.797,cumulative
es5,render,172.488,self
es5,render,366.285,cumulative
es5,load,195.064,self
es5,load,195.064,cumulative
es5,render,174.22,self
es5,render,369.284,cumulative
es5,load,194.055,self
es5,load,194.055,cumulative
es5,render,171.967,self
es5,render,366.022,cumulative
es5,load,194.06,self
es5,load,194.06,cumulative
es5,render,168.611,self
es5,render,362.671,cumulative
es5,load,193.069,self
es5,load,193.069,cumulative
es5,render,176.048,self
es5,render,369.117,cumulative
es5,load,195.295,self
es5,load,195.295,cumulative
es5,render,170.228,self
es5,render,365.523,cumulative
es5,load,198.52,self
es5,load,198.52,cumulative
es5,render,173.429,self
es5,render,371.949,cumulative
es5,load,197.478,self
es5,load,197.478,cumulative
es5,render,170.441,self
es5,render,367.919,cumulative
es5,load,192.812,self
es5,load,192.812,cumulative
es5,render,174.895,self
es5,render,367.707,cumulative
es5,load,195.671,self
es5,load,195.671,cumulative
es5,render,178.434,self
es5,render,374.105,cumulative
es5,load,194.809,self
es5,load,194.809,cumulative
es5,render,174.428,self
es5,render,369.237,cumulative
es5,load,193.836,self
es5,load,193.836,cumulative
es5,render,168.507,self
es5,render,362.343,cumulative
es5,load,199.903,self
es5,load,199.903,cumulative
es5,render,179.439,self
es5,render,379.342,cumulative
es5,load,201.671,self
es5,load,201.671,cumulative
es5,render,174.622,self
es5,render,376.293,cumulative
es5,load,200.24,self
es5,load,200.24,cumulative
es5,render,177.979,self
es5,render,378.219,cumulative
es5,load,204.33,self
es5,load,204.33,cumulative
es5,render,180.024,self
es5,render,384.354,cumulative
es5,load,193.315,self
es5,load,193.315,cumulative
es5,render,171.263,self
es5,render,364.578,cumulative
es5,load,199.301,self
es5,load,199.301,cumulative
es5,render,169.563,self
es5,render,368.864,cumulative
es5,load,200.663,self
es5,load,200.663,cumulative
es5,render,175.415,self
es5,render,376.078,cumulative
es5,load,194.389,self
es5,load,194.389,cumulative
es5,render,175.755,self
es5,render,370.144,cumulative
es5,load,193.983,self
es5,load,193.983,cumulative
es5,render,170.205,self
es5,render,364.188,cumulative
es5,load,192.236,self
es5,load,192.236,cumulative
es5,render,172.889,self
es5,render,365.125,cumulative
es5,load,196.951,self
es5,load,196.951,cumulative
es5,render,174.514,self
es5,render,371.465,cumulative
es5,load,193.17,self
es5,load,193.17,cumulative
es5,render,181.503,self
es5,render,374.673,cumulative
es5,load,199.383,self
es5,load,199.383,cumulative
es5,render,172.726,self
es5,render,372.109,cumulative
es5,load,198.108,self
es5,load,198.108,cumulative
es5,render,173.628,self
es5,render,371.736,cumulative
es5,load,193.151,self
es5,load,193.151,cumulative
es5,render,180.928,self
es5,render,374.079,cumulative
es5,load,195.423,self
es5,load,195.423,cumulative
es5,render,172.778,self
es5,render,368.201,cumulative
es5,load,198.85,self
es5,load,198.85,cumulative
es5,render,171.557,self
es5,render,370.407,cumulative
es5,load,192.511,self
es5,load,192.511,cumulative
es5,render,175.109,self
es5,render,367.62,cumulative
es5,load,195.285,self
es5,load,195.285,cumulative
es5,render,177.774,self
es5,render,373.059,cumulative
es5,load,196.81,self
es5,load,196.81,cumulative
es5,render,175.837,self
es5,render,372.647,cumulative
es5,load,194.586,self
es5,load,194.586,cumulative
es5,render,176.806,self
es5,render,371.392,cumulative
es5,load,201.291,self
es5,load,201.291,cumulative
es5,render,176.048,self
es5,render,377.339,cumulative
es5,load,203.182,self
es5,load,203.182,cumulative
es5,render,175.04,self
es5,render,378.222,cumulative
es5,load,197.406,self
es5,load,197.406,cumulative
es5,render,174.082,self
es5,render,371.488,cumulative
es5,load,196.419,self
es5,load,196.419,cumulative
es5,render,175.897,self
es5,render,372.316,cumulative
es5,load,196.852,self
es5,load,196.852,cumulative
es5,render,194.655,self
es5,render,391.507,cumulative
es5,load,196.417,self
es5,load,196.417,cumulative
es5,render,170.925,self
es5,render,367.342,cumulative
es5,load,195.153,self
es5,load,195.153,cumulative
es5,render,174.362,self
es5,render,369.515,cumulative
es5,load,192.046,self
es5,load,192.046,cumulative
es5,render,176.551,self
es5,render,368.597,cumulative
es5,load,195.247,self
es5,load,195.247,cumulative
es5,render,173.682,self
es5,render,368.929,cumulative
es5,load,195.245,self
es5,load,195.245,cumulative
es5,render,170.284,self
es5,render,365.529,cumulative
es2017,load,190.601,self
es2017,load,190.601,cumulative
es2017,render,180.859,self
es2017,render,371.46,cumulative
es2017,load,187.373,self
es2017,load,187.373,cumulative
es2017,render,178.872,self
es2017,render,366.245,cumulative
es2017,load,186.558,self
es2017,load,186.558,cumulative
es2017,render,181.726,self
es2017,render,368.284,cumulative
es2017,load,184.31,self
es2017,load,184.31,cumulative
es2017,render,184.933,self
es2017,render,369.243,cumulative
es2017,load,188.371,self
es2017,load,188.371,cumulative
es2017,render,177.601,self
es2017,render,365.972,cumulative
es2017,load,186.989,self
es2017,load,186.989,cumulative
es2017,render,177.87,self
es2017,render,364.859,cumulative
es2017,load,188.428,self
es2017,load,188.428,cumulative
es2017,render,182.081,self
es2017,render,370.509,cumulative
es2017,load,186.819,self
es2017,load,186.819,cumulative
es2017,render,184.347,self
es2017,render,371.166,cumulative
es2017,load,187.485,self
es2017,load,187.485,cumulative
es2017,render,177.613,self
es2017,render,365.098,cumulative
es2017,load,185.081,self
es2017,load,185.081,cumulative
es2017,render,183.354,self
es2017,render,368.435,cumulative
es2017,load,188.235,self
es2017,load,188.235,cumulative
es2017,render,185.073,self
es2017,render,373.308,cumulative
es2017,load,190.692,self
es2017,load,190.692,cumulative
es2017,render,180.381,self
es2017,render,371.073,cumulative
es2017,load,185.879,self
es2017,load,185.879,cumulative
es2017,render,182.381,self
es2017,render,368.26,cumulative
es2017,load,189.753,self
es2017,load,189.753,cumulative
es2017,render,181.111,self
es2017,render,370.864,cumulative
es2017,load,188.143,self
es2017,load,188.143,cumulative
es2017,render,184.721,self
es2017,render,372.864,cumulative
es2017,load,188.235,self
es2017,load,188.235,cumulative
es2017,render,189.712,self
es2017,render,377.947,cumulative
es2017,load,191.472,self
es2017,load,191.472,cumulative
es2017,render,187.18,self
es2017,render,378.652,cumulative
es2017,load,189.225,self
es2017,load,189.225,cumulative
es2017,render,180.206,self
es2017,render,369.431,cumulative
es2017,load,188.316,self
es2017,load,188.316,cumulative
es2017,render,179.048,self
es2017,render,367.364,cumulative
es2017,load,184.922,self
es2017,load,184.922,cumulative
es2017,render,179.072,self
es2017,render,363.994,cumulative
es2017,load,192.231,self
es2017,load,192.231,cumulative
es2017,render,186.77,self
es2017,render,379.001,cumulative
es2017,load,191.149,self
es2017,load,191.149,cumulative
es2017,render,181.806,self
es2017,render,372.955,cumulative
es2017,load,203.169,self
es2017,load,203.169,cumulative
es2017,render,191.296,self
es2017,render,394.465,cumulative
es2017,load,192.666,self
es2017,load,192.666,cumulative
es2017,render,183.597,self
es2017,render,376.263,cumulative
es2017,load,185.457,self
es2017,load,185.457,cumulative
es2017,render,185.009,self
es2017,render,370.466,cumulative
es2017,load,190.243,self
es2017,load,190.243,cumulative
es2017,render,183.518,self
es2017,render,373.761,cumulative
es2017,load,184.913,self
es2017,load,184.913,cumulative
es2017,render,180.883,self
es2017,render,365.796,cumulative
es2017,load,187.226,self
es2017,load,187.226,cumulative
es2017,render,186.833,self
es2017,render,374.059,cumulative
es2017,load,187.896,self
es2017,load,187.896,cumulative
es2017,render,180.122,self
