set,ms,type
baseline,1.141,compile
baseline,75.69,run
baseline,230.83,js
baseline,8.599,gc
baseline,147.207,callFunction
baseline,6.792,parseOnBackground
baseline,465.796,duration
baseline,0.787,compile
baseline,65.867,run
baseline,201.941,js
baseline,8.732,gc
baseline,129.078,callFunction
baseline,6.209,parseOnBackground
baseline,371.624,duration
baseline,1.041,compile
baseline,72.367,run
baseline,204.504,js
baseline,8.343,gc
baseline,126.124,callFunction
baseline,4.972,parseOnBackground
baseline,376.419,duration
baseline,0.773,compile
baseline,66.566,run
baseline,199.483,js
baseline,7.604,gc
baseline,126.025,callFunction
baseline,6.119,parseOnBackground
baseline,379.417,duration
baseline,1.377,compile
baseline,63.456,run
baseline,197.601,js
baseline,7.76,gc
baseline,127.359,callFunction
baseline,5.409,parseOnBackground
baseline,370.847,duration
baseline,1.342,compile
baseline,68.812,run
baseline,208.736,js
baseline,8.138,gc
baseline,133.091,callFunction
baseline,5.491,parseOnBackground
baseline,381.053,duration
baseline,0.99,compile
baseline,62.074,run
baseline,280.592,js
baseline,9.378,gc
baseline,121.931,callFunction
baseline,95.597,parseOnBackground
baseline,366.075,duration
baseline,0.781,compile
baseline,62.54,run
baseline,190.141,js
baseline,7.705,gc
baseline,121.768,callFunction
baseline,5.052,parseOnBackground
baseline,365.303,duration
baseline,0.566,compile
baseline,62.123,run
baseline,191.78,js
baseline,7.345,gc
baseline,123.256,callFunction
baseline,5.835,parseOnBackground
baseline,379.138,duration
baseline,0.8,compile
baseline,62.848,run
baseline,192.758,js
baseline,7.391,gc
baseline,123.108,callFunction
baseline,6.002,parseOnBackground
baseline,374.815,duration
baseline,1.469,compile
baseline,63.23,run
baseline,199.047,js
baseline,8.218,gc
baseline,129.174,callFunction
baseline,5.174,parseOnBackground
baseline,372.544,duration
baseline,1.009,compile
baseline,63.194,run
baseline,194.937,js
baseline,8.099,gc
baseline,125.303,callFunction
baseline,5.431,parseOnBackground
baseline,371.08,duration
baseline,0.808,compile
baseline,60.652,run
baseline,192.119,js
baseline,7.633,gc
baseline,124.642,callFunction
baseline,6.017,parseOnBackground
baseline,369.869,duration
baseline,0.96,compile
baseline,62.436,run
baseline,193.955,js
baseline,8.624,gc
baseline,124.987,callFunction
baseline,5.572,parseOnBackground
baseline,374.106,duration
baseline,0.755,compile
baseline,62.251,run
baseline,282.718,js
baseline,7.635,gc
baseline,124.203,callFunction
baseline,95.509,parseOnBackground
baseline,368.337,duration
baseline,1.222,compile
baseline,66.148,run
baseline,193.368,js
baseline,7.633,gc
baseline,120.956,callFunction
baseline,5.042,parseOnBackground
baseline,367.131,duration
baseline,0.823,compile
baseline,64.169,run
baseline,194.212,js
baseline,7.576,gc
baseline,123.768,callFunction
baseline,5.452,parseOnBackground
baseline,367.175,duration
baseline,0.973,compile
baseline,64.065,run
baseline,282.982,js
baseline,8.158,gc
baseline,123.711,callFunction
baseline,94.233,parseOnBackground
baseline,368.247,duration
baseline,0.738,compile
baseline,65.558,run
baseline,194.716,js
baseline,9.25,gc
baseline,122.76,callFunction
baseline,5.66,parseOnBackground
baseline,366.42,duration
baseline,0.964,compile
baseline,64.944,run
baseline,195.767,js
baseline,7.897,gc
baseline,124.698,callFunction
baseline,5.161,parseOnBackground
baseline,372.88,duration
baseline,0.983,compile
baseline,67.927,run
baseline,202.313,js
baseline,7.663,gc
baseline,128.042,callFunction
baseline,5.361,parseOnBackground
baseline,375.374,duration
baseline,0.994,compile
baseline,63.734,run
baseline,193.187,js
baseline,7.955,gc
baseline,122.936,callFunction
baseline,5.523,parseOnBackground
baseline,369.476,duration
baseline,0.915,compile
baseline,64.555,run
baseline,282.922,js
baseline,7.931,gc
baseline,124.801,callFunction
baseline,92.651,parseOnBackground
baseline,365.775,duration
baseline,0.808,compile
baseline,62.99,run
baseline,282.323,js
baseline,8.446,gc
baseline,123.021,callFunction
baseline,95.504,parseOnBackground
baseline,367.528,duration
baseline,0.619,compile
baseline,62.716,run
baseline,194.991,js
baseline,8.085,gc
baseline,126.039,callFunction
baseline,5.617,parseOnBackground
baseline,371.573,duration
baseline,1.311,compile
baseline,65.67,run
baseline,285.743,js
baseline,7.683,gc
baseline,124.03,callFunction
baseline,94.732,parseOnBackground
baseline,370.381,duration
baseline,0.782,compile
baseline,62.881,run
baseline,192.006,js
baseline,8.121,gc
baseline,122.752,callFunction
baseline,5.591,parseOnBackground
baseline,368.602,duration
baseline,0.758,compile
baseline,67.114,run
baseline,285.638,js
baseline,6.985,gc
baseline,123.933,callFunction
baseline,93.833,parseOnBackground
baseline,370.322,duration
baseline,1.24,compile
baseline,62.933,run
baseline,199.508,js
baseline,7.871,gc
baseline,130.3,callFunction
baseline,5.035,parseOnBackground
baseline,374.772,duration
baseline,0.716,compile
baseline,61.853,run
baseline,277.176,js
baseline,7.863,gc
baseline,119.97,callFunction
baseline,94.637,parseOnBackground
baseline,362.666,duration
baseline,0.905,compile
baseline,63.018,run
baseline,195.241,js
baseline,8.211,gc
baseline,125.928,callFunction
baseline,5.39,parseOnBackground
baseline,371.064,duration
baseline,1.211,compile
baseline,70.303,run
baseline,198.533,js
baseline,7.741,gc
baseline,119.608,callFunction
baseline,7.411,parseOnBackground
baseline,384.336,duration
baseline,0.999,compile
baseline,62.067,run
baseline,188.501,js
baseline,7.941,gc
baseline,119.422,callFunction
baseline,6.013,parseOnBackground
baseline,365.85,duration
baseline,1.091,compile
baseline,60.169,run
baseline,193.41,js
baseline,7.439,gc
baseline,126.766,callFunction
baseline,5.384,parseOnBackground
baseline,367.339,duration
baseline,0.827,compile
baseline,66.036,run
baseline,203.695,js
baseline,8.634,gc
baseline,131.696,callFunction
baseline,5.136,parseOnBackground
baseline,379.975,duration
baseline,0.599,compile
baseline,63.242,run
baseline,192.444,js
baseline,7.915,gc
baseline,123.147,callFunction
baseline,5.456,parseOnBackground
baseline,369.051,duration
baseline,0.952,compile
baseline,66.321,run
baseline,291.662,js
baseline,7.851,gc
baseline,125.525,callFunction
baseline,98.864,parseOnBackground
baseline,379.703,duration
baseline,0.914,compile
baseline,64.1,run
baseline,284.171,js
baseline,9.363,gc
baseline,124.55,callFunction
baseline,94.607,parseOnBackground
baseline,370.269,duration
baseline,0.946,compile
baseline,63.425,run
baseline,283.591,js
baseline,7.465,gc
baseline,123.466,callFunction
baseline,95.754,parseOnBackground
baseline,368.182,duration
baseline,0.907,compile
baseline,62.764,run
baseline,193.359,js
baseline,7.681,gc
baseline,124.779,callFunction
baseline,4.909,parseOnBackground
baseline,372.564,duration
baseline,0.717,compile
baseline,61.881,run
baseline,276.137,js
baseline,8.149,gc
baseline,121.209,callFunction
baseline,92.33,parseOnBackground
baseline,360.855,duration
baseline,0.956,compile
baseline,63.595,run
baseline,193.811,js
baseline,8.021,gc
baseline,124.195,callFunction
baseline,5.065,parseOnBackground
baseline,366.862,duration
baseline,0.758,compile
baseline,62.21,run
baseline,196.238,js
baseline,8.342,gc
baseline,127.922,callFunction
baseline,5.348,parseOnBackground
baseline,371.211,duration
baseline,0.844,compile
baseline,62.026,run
baseline,188.996,js
baseline,7.566,gc
baseline,121.032,callFunction
baseline,5.094,parseOnBackground
baseline,359.633,duration
baseline,0.977,compile
baseline,61.481,run
baseline,286.304,js
baseline,7.493,gc
baseline,127.019,callFunction
baseline,96.827,parseOnBackground
baseline,371.372,duration
baseline,0.542,compile
baseline,62.988,run
baseline,285.483,js
baseline,8.22,gc
baseline,127.698,callFunction
baseline,94.255,parseOnBackground
baseline,370.776,duration
baseline,0.769,compile
baseline,60.643,run
baseline,189.215,js
baseline,7.793,gc
baseline,122.585,callFunction
baseline,5.218,parseOnBackground
baseline,368.596,duration
baseline,0.774,compile
baseline,60.952,run
baseline,192.782,js
baseline,7.992,gc
baseline,125.088,callFunction
baseline,5.968,parseOnBackground
baseline,367.279,duration
baseline,0.95,compile
baseline,61.019,run
baseline,285.307,js
baseline,7.986,gc
baseline,124.294,callFunction
baseline,99.044,parseOnBackground
baseline,371.828,duration
baseline,0.749,compile
baseline,64.6,run
baseline,280.289,js
baseline,8.336,gc
baseline,120.863,callFunction
baseline,94.077,parseOnBackground
baseline,364.423,duration
experiment,0.745,compile
experiment,62.076,run
experiment,201.704,js
experiment,7.997,gc
experiment,132.842,callFunction
experiment,6.041,parseOnBackground
experiment,376.047,duration
experiment,1.109,compile
experiment,65.254,run
experiment,204.033,js
experiment,9.93,gc
experiment,132.503,callFunction
experiment,5.167,parseOnBackground
experiment,377.427,duration
experiment,0.991,compile
experiment,67.312,run
experiment,205.223,js
experiment,7.622,gc
experiment,131.418,callFunction
experiment,5.502,parseOnBackground
experiment,386.418,duration
experiment,0.934,compile
experiment,65.246,run
experiment,292.653,js
experiment,7.431,gc
experiment,132.955,callFunction
experiment,93.518,parseOnBackground
experiment,383.445,duration
experiment,0.837,compile
experiment,70.023,run
experiment,207.798,js
experiment,8.765,gc
experiment,131.785,callFunction
experiment,5.153,parseOnBackground
experiment,379.436,duration
experiment,0.893,compile
experiment,63.157,run
experiment,291.061,js
experiment,7.224,gc
experiment,130.315,callFunction
experiment,96.696,parseOnBackground
experiment,376.359,duration
experiment,1.185,compile
experiment,66.693,run
experiment,207.853,js
experiment,9.108,gc
experiment,134.89,callFunction
experiment,5.085,parseOnBackground
experiment,381.927,duration
experiment,0.566,compile
experiment,66.152,run
experiment,297.311,js
experiment,9.411,gc
experiment,138.568,callFunction
experiment,92.025,parseOnBackground
experiment,383.33,duration
experiment,1.316,compile
experiment,60.257,run
experiment,292.36,js
experiment,7.329,gc
experiment,133.693,callFunction
experiment,97.094,parseOnBackground
experiment,380.979,duration
experiment,0.749,compile
experiment,67.333,run
experiment,301.504,js
experiment,8.169,gc
experiment,138.588,callFunction
experiment,94.834,parseOnBackground
experiment,389.732,duration
experiment,0.921,compile
experiment,70.085,run
experiment,293.502,js
experiment,7.467,gc
experiment,126.686,callFunction
experiment,95.81,parseOnBackground
experiment,382.448,duration
experiment,0.951,compile
experiment,67.581,run
experiment,203.789,js
experiment,8.116,gc
experiment,129.77,callFunction
experiment,5.487,parseOnBackground
experiment,376.281,duration
experiment,0.741,compile
experiment,63.249,run
experiment,287.528,js
experiment,7.859,gc
experiment,128.26,callFunction
experiment,95.278,parseOnBackground
experiment,372.634,duration
experiment,0.749,compile
experiment,65.589,run
experiment,294.476,js
experiment,7.824,gc
experiment,134.815,callFunction
experiment,93.323,parseOnBackground
experiment,379.21,duration
experiment,0.964,compile
experiment,65.821,run
experiment,293.324,js
experiment,9.303,gc
experiment,128.238,callFunction
experiment,98.301,parseOnBackground
experiment,378.47,duration
experiment,0.967,compile
experiment,64.459,run
experiment,297.614,js
experiment,7.953,gc
experiment,134.388,callFunction
experiment,97.8,parseOnBackground
experiment,387.888,duration
experiment,1.147,compile
experiment,62.051,run
experiment,283.597,js
experiment,7.351,gc
experiment,127.057,callFunction
experiment,93.342,parseOnBackground
experiment,367.484,duration
experiment,0.75,compile
experiment,64.144,run
experiment,201.165,js
experiment,9.177,gc
experiment,130.837,callFunction
experiment,5.434,parseOnBackground
experiment,374.974,duration
experiment,0.915,compile
experiment,62.189,run
experiment,203.039,js
experiment,7.606,gc
experiment,134.297,callFunction
experiment,5.638,parseOnBackground
experiment,376.957,duration
experiment,0.792,compile
experiment,64.615,run
experiment,207.171,js
experiment,7.58,gc
experiment,136.517,callFunction
experiment,5.247,parseOnBackground
experiment,380.474,duration
experiment,0.575,compile
experiment,60.12,run
experiment,198.984,js
experiment,7.444,gc
experiment,132.239,callFunction
experiment,6.05,parseOnBackground
experiment,370.241,duration
experiment,0.729,compile
experiment,63.503,run
experiment,291.132,js
experiment,7.298,gc
experiment,133.639,callFunction
experiment,93.261,parseOnBackground
experiment,375.715,duration
experiment,0.777,compile
experiment,64.667,run
experiment,201.598,js
experiment,7.481,gc
experiment,130.347,callFunction
experiment,5.807,parseOnBackground
experiment,378.681,duration
experiment,1.161,compile
experiment,60.75,run
experiment,201.096,js
experiment,7.269,gc
experiment,133.688,callFunction
experiment,5.497,parseOnBackground
experiment,379.73,duration
experiment,1.844,compile
experiment,67.273,run
experiment,205.599,js
experiment,8.331,gc
experiment,131.298,callFunction
experiment,5.184,parseOnBackground
experiment,379.319,duration
experiment,0.954,compile
experiment,62.675,run
experiment,204.1,js
experiment,7.902,gc
experiment,134.625,callFunction
experiment,5.846,parseOnBackground
experiment,379.721,duration
experiment,0.794,compile
experiment,63.769,run
experiment,288.598,js
experiment,7.396,gc
experiment,128.73,callFunction
experiment,95.305,parseOnBackground
experiment,373.724,duration
experiment,0.846,compile
experiment,67.219,run
experiment,292.05,js
experiment,7.706,gc
experiment,129.019,callFunction
experiment,94.966,parseOnBackground
experiment,381.818,duration
experiment,0.913,compile
experiment,62.368,run
experiment,288.394,js
experiment,9.233,gc
experiment,130.93,callFunction
experiment,94.183,parseOnBackground
experiment,379.747,duration
experiment,0.957,compile
experiment,66.65,run
experiment,208.29,js
experiment,9.585,gc
experiment,135.58,callFunction
experiment,5.103,parseOnBackground
experiment,387.202,duration
experiment,0.942,compile
experiment,63.626,run
experiment,203.019,js
