set,phase,ms,type
alpha-with-mods,load,244.812,self
alpha-with-mods,load,244.812,cumulative
alpha-with-mods,render,111.285,self
alpha-with-mods,render,356.097,cumulative
alpha-with-mods,paint,0.077,self
alpha-with-mods,paint,356.174,cumulative
alpha-with-mods,load,172.64,self
alpha-with-mods,load,172.64,cumulative
alpha-with-mods,render,111.349,self
alpha-with-mods,render,283.989,cumulative
alpha-with-mods,paint,0.023,self
alpha-with-mods,paint,284.012,cumulative
alpha-with-mods,load,151.031,self
alpha-with-mods,load,151.031,cumulative
alpha-with-mods,render,105.758,self
alpha-with-mods,render,256.789,cumulative
alpha-with-mods,paint,0.022,self
alpha-with-mods,paint,256.811,cumulative
alpha-with-mods,load,146.949,self
alpha-with-mods,load,146.949,cumulative
alpha-with-mods,render,111.219,self
alpha-with-mods,render,258.168,cumulative
alpha-with-mods,paint,0.022,self
alpha-with-mods,paint,258.19,cumulative
alpha-with-mods,load,177.396,self
alpha-with-mods,load,177.396,cumulative
alpha-with-mods,render,117.138,self
alpha-with-mods,render,294.534,cumulative
alpha-with-mods,paint,0.06,self
alpha-with-mods,paint,294.594,cumulative
alpha-with-mods,load,145.609,self
alpha-with-mods,load,145.609,cumulative
alpha-with-mods,render,115.463,self
alpha-with-mods,render,261.072,cumulative
alpha-with-mods,paint,0.026,self
alpha-with-mods,paint,261.098,cumulative
alpha-with-mods,load,150.675,self
alpha-with-mods,load,150.675,cumulative
alpha-with-mods,render,114.944,self
alpha-with-mods,render,265.619,cumulative
alpha-with-mods,paint,0.029,self
alpha-with-mods,paint,265.648,cumulative
alpha-with-mods,load,145.468,self
alpha-with-mods,load,145.468,cumulative
alpha-with-mods,render,108.388,self
alpha-with-mods,render,253.856,cumulative
alpha-with-mods,paint,0.022,self
alpha-with-mods,paint,253.878,cumulative
alpha-with-mods,load,150.407,self
alpha-with-mods,load,150.407,cumulative
alpha-with-mods,render,110.701,self
alpha-with-mods,render,261.108,cumulative
alpha-with-mods,paint,0.027,self
alpha-with-mods,paint,261.135,cumulative
alpha-with-mods,load,150.889,self
alpha-with-mods,load,150.889,cumulative
alpha-with-mods,render,111.699,self
alpha-with-mods,render,262.588,cumulative
alpha-with-mods,paint,0.048,self
alpha-with-mods,paint,262.636,cumulative
alpha-with-mods,load,166.611,self
alpha-with-mods,load,166.611,cumulative
alpha-with-mods,render,109.337,self
alpha-with-mods,render,275.948,cumulative
alpha-with-mods,paint,0.046,self
alpha-with-mods,paint,275.994,cumulative
alpha-with-mods,load,159.477,self
alpha-with-mods,load,159.477,cumulative
alpha-with-mods,render,105.959,self
alpha-with-mods,render,265.436,cumulative
alpha-with-mods,paint,0.022,self
alpha-with-mods,paint,265.458,cumulative
alpha-with-mods,load,146.201,self
alpha-with-mods,load,146.201,cumulative
alpha-with-mods,render,115.412,self
alpha-with-mods,render,261.613,cumulative
alpha-with-mods,paint,0.041,self
alpha-with-mods,paint,261.654,cumulative
alpha-with-mods,load,145.629,self
alpha-with-mods,load,145.629,cumulative
alpha-with-mods,render,106.068,self
alpha-with-mods,render,251.697,cumulative
alpha-with-mods,paint,0.021,self
alpha-with-mods,paint,251.718,cumulative
alpha-with-mods,load,162.858,self
alpha-with-mods,load,162.858,cumulative
alpha-with-mods,render,111.448,self
alpha-with-mods,render,274.306,cumulative
alpha-with-mods,paint,0.023,self
alpha-with-mods,paint,274.329,cumulative
alpha-with-mods,load,151.531,self
alpha-with-mods,load,151.531,cumulative
alpha-with-mods,render,111.548,self
alpha-with-mods,render,263.079,cumulative
alpha-with-mods,paint,0.023,self
alpha-with-mods,paint,263.102,cumulative
alpha-with-mods,load,167.497,self
alpha-with-mods,load,167.497,cumulative
alpha-with-mods,render,107.178,self
alpha-with-mods,render,274.675,cumulative
alpha-with-mods,paint,0.027,self
alpha-with-mods,paint,274.702,cumulative
alpha-with-mods,load,159.735,self
alpha-with-mods,load,159.735,cumulative
alpha-with-mods,render,112.76,self
alpha-with-mods,render,272.495,cumulative
alpha-with-mods,paint,0.022,self
alpha-with-mods,paint,272.517,cumulative
alpha-with-mods,load,148.844,self
alpha-with-mods,load,148.844,cumulative
alpha-with-mods,render,112.336,self
alpha-with-mods,render,261.18,cumulative
alpha-with-mods,paint,0.04,self
alpha-with-mods,paint,261.22,cumulative
alpha-with-mods,load,170.214,self
alpha-with-mods,load,170.214,cumulative
alpha-with-mods,render,111.11,self
alpha-with-mods,render,281.324,cumulative
alpha-with-mods,paint,0.021,self
alpha-with-mods,paint,281.345,cumulative
alpha-with-mods,load,144.748,self
alpha-with-mods,load,144.748,cumulative
alpha-with-mods,render,108.753,self
alpha-with-mods,render,253.501,cumulative
