set,ms,type
alpha-with-mods,0.253,compile
alpha-with-mods,68.23,run
alpha-with-mods,68.483,js
alpha-with-mods,2.321,gc
alpha-with-mods,292.895,duration
alpha-with-mods,0.237,compile
alpha-with-mods,56.954,run
alpha-with-mods,57.191,js
alpha-with-mods,1.951,gc
alpha-with-mods,234.563,duration
alpha-with-mods,0.199,compile
alpha-with-mods,51.995,run
alpha-with-mods,52.194,js
alpha-with-mods,2.092,gc
alpha-with-mods,232.429,duration
alpha-with-mods,0.283,compile
alpha-with-mods,55.117,run
alpha-with-mods,55.4,js
alpha-with-mods,2.057,gc
alpha-with-mods,238.161,duration
alpha-with-mods,0.223,compile
alpha-with-mods,52.495,run
alpha-with-mods,52.718,js
alpha-with-mods,2.177,gc
alpha-with-mods,230.792,duration
alpha-with-mods,0.314,compile
alpha-with-mods,53.743,run
alpha-with-mods,54.057,js
alpha-with-mods,2.186,gc
alpha-with-mods,231.778,duration
alpha-with-mods,0.213,compile
alpha-with-mods,54.796,run
alpha-with-mods,55.009,js
alpha-with-mods,2.554,gc
alpha-with-mods,235.712,duration
alpha-with-mods,0.206,compile
alpha-with-mods,52.787,run
alpha-with-mods,52.993,js
alpha-with-mods,2.159,gc
alpha-with-mods,227.841,duration
alpha-with-mods,0.436,compile
alpha-with-mods,57.316,run
alpha-with-mods,57.752,js
alpha-with-mods,2.843,gc
alpha-with-mods,232.89,duration
alpha-with-mods,0.203,compile
alpha-with-mods,56.365,run
alpha-with-mods,56.568,js
alpha-with-mods,3.026,gc
alpha-with-mods,235.069,duration
alpha-with-mods,0.215,compile
alpha-with-mods,56.67,run
alpha-with-mods,56.885,js
alpha-with-mods,2.119,gc
alpha-with-mods,231.934,duration
alpha-with-mods,0.199,compile
alpha-with-mods,54.863,run
alpha-with-mods,55.062,js
alpha-with-mods,2.217,gc
alpha-with-mods,233.734,duration
alpha-with-mods,0.215,compile
alpha-with-mods,54.486,run
alpha-with-mods,54.701,js
alpha-with-mods,2.053,gc
alpha-with-mods,231.934,duration
alpha-with-mods,0.222,compile
alpha-with-mods,63.102,run
alpha-with-mods,63.324,js
alpha-with-mods,2.767,gc
alpha-with-mods,237.752,duration
alpha-with-mods,0.205,compile
alpha-with-mods,60.171,run
alpha-with-mods,60.376,js
alpha-with-mods,3.334,gc
alpha-with-mods,237.652,duration
alpha-with-mods,0.34,compile
alpha-with-mods,55.759,run
alpha-with-mods,56.099,js
alpha-with-mods,2.771,gc
alpha-with-mods,235.633,duration
